source_year,Straftat_Gesetz,Art_der_Straftat,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct,freispruch_ohne_massregeln,einstellung_ohne_massregeln,freiheitsstrafe_gesamt,bewaehrung,geldstrafe,verurteilte_deutsche,verurteilte_auslaender,freiheitsstrafe,sonstige,auslaenderquote_verurteilte,auslaenderquote_verurteilte_pct
2022,AWG  ,Außenwirtschaftsgesetz AWG ,17,9,0.5294117647058824,52.94117647058824,2,6,3.0,3,6,6,3,0,0,0.3333333333333333,33.33333333333333
2022,StGB  ,Fahrlässige Koerperverl. im Straßenverkehr insgesamt (§ 229 StGB) ,12387,10420,0.8412044885767337,84.12044885767337,113,1721,225.0,194,9943,7322,3098,31,385,0.29731285988483686,29.731285988483684
2022,StGB  ,Fahrlässige Toetung im Straßenverkehr insgesamt (§ 222 StGB) ,514,458,0.8910505836575876,89.10505836575877,9,41,121.0,100,310,369,89,21,33,0.1943231441048035,19.432314410480352
2022,StGB  ,Gefährdung des Straßenverkehrs nach § 315 c StGB insgesamt ,13792,12235,0.8871084686774942,88.71084686774941,208,1214,351.0,302,11458,9007,3228,49,561,0.2638332652227217,26.38332652227217
2022,StGB  ,Gefährdung des Straßenverkehrs nach § 315 c StGB mit Verkehrsunfall ,11226,10326,0.9198289684660609,91.98289684660608,113,723,225.0,190,9823,7698,2628,35,342,0.2545031958163858,25.45031958163858
2022,StGB  ,Gefährdung des Straßenverkehrs nach § 315 c StGB ohne Verkehrsunfall ,2566,1909,0.7439594699922057,74.39594699922057,95,491,126.0,112,1635,1309,600,14,219,0.3143006809848088,31.43006809848088
2022,StGB  ,Menschenraub StGB § 234 ,4,2,0.5,50.0,0,2,2.0,2,0,1,1,0,0,0.5,50.0
2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",2646,2036,0.7694633408919124,76.94633408919124,93,254,151.0,96,1756,1845,191,55,392,0.093811394891945,9.3811394891945
2022,StGB  ,"StGB 10. Abschnitt, §§ 164 und 165 Falsche Verdächtigung ",3846,2678,0.6963078523140925,69.63078523140925,213,752,151.0,116,2335,1825,853,35,395,0.318521284540702,31.8521284540702
2022,StGB  ,"StGB 11. Abschnitt, §§ 166 bis 168 Straftaten, welche sich auf Religion und Weltanschauung beziehen",41,32,0.7804878048780488,78.04878048780488,1,7,2.0,1,28,27,5,1,3,0.15625,15.625
2022,StGB  ,"StGB 12. Abschnitt, §§ 169 bis 173 Straftaten gegen den Personenstand, die Ehe und die Familie",1091,628,0.5756186984417965,57.56186984417965,26,435,285.0,278,340,492,136,7,5,0.21656050955414013,21.656050955414013
