Statistik,Gebiet,Jahr,Straftat_Gesetz,Art_der_Straftat,Staatsangehoerigkeit,Geschlecht,Wert_Anzahl,source_year,source_file
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte insgesamt,Männer,292786,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte Deutsche,Männer,180469,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte Ausländer,Männer,112317,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte insgesamt,Frauen,78202,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte Deutsche,Frauen,53627,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte Ausländer,Frauen,24575,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte insgesamt,insgesamt,370989,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte Deutsche,insgesamt,234097,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGBoV  ,Straftaten ohne Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 1012 bis 1686,Verurteilte Ausländer,insgesamt,136892,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte insgesamt,Männer,1867,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte Deutsche,Männer,1690,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte Ausländer,Männer,177,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte insgesamt,Frauen,169,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte Deutsche,Frauen,155,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte Ausländer,Frauen,14,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte insgesamt,insgesamt,2036,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte Deutsche,insgesamt,1845,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,"StGB 1. Abschnitt, §§ 80 a bis 92 b Friedensverrat, Hochverrat und Gefährdung des demokratischen Rechtsstaates",Verurteilte Ausländer,insgesamt,191,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte insgesamt,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte Deutsche,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte insgesamt,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte Deutsche,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 80 a Aufstacheln zum Verbrechen der Aggression,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte insgesamt,Männer,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte Deutsche,Männer,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte insgesamt,insgesamt,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte Deutsche,insgesamt,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB §§ 81 bis 83 Hochverrat ,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte insgesamt,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte Deutsche,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte insgesamt,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte Deutsche,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 84 Fortführung einer für verfassungswidrig erklärten Partei,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte insgesamt,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte Deutsche,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte insgesamt,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte Deutsche,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte insgesamt,Männer,643,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Deutsche,Männer,568,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Ausländer,Männer,75,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte insgesamt,Frauen,57,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Deutsche,Frauen,48,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Ausländer,Frauen,9,2022,bund-2022.xlsx
